CompletionTermDesc,Emplid,Crse ID,Term Descrshort,Subject,Catalog Nbr,Class Section,Session Descrshort,Crse Component Descrshort,Crse Descr,Unt Earned - Credits,Crse Grade Off - Grade Earned,Course Code,Outside UMSI
Winter 2024,02861018,022099,WN 2024,SI,658,001,Regular,Lecture,Info Architecture,3.00,A,SI 658,No
Winter 2024,02861018,039178,FA 2023,SI,539,001,Regular,Lecture,Web Design,3.00,B,SI 539,No
Winter 2024,02861018,040667,WN 2024,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2024,02861018,042104,FA 2023,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2024,02861018,044772,FA 2023,SI,582,003,Regular,Lecture,Intro Interac Design,3.00,A+,SI 582,No
Winter 2024,02861018,047901,FA 2024,SI,699,201,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
Winter 2024,02861018,048488,WN 2024,SI,559,001,Regular,Lecture,AR/VR Intro,3.00,A-,SI 559,No
Winter 2024,02884252,006651,WN 2023,ENS,344,002,Regular,Laboratory,Univ Campus Orch,1.00,A,ENS 344,Yes
Winter 2024,02884252,012457,FA 2023,EDUC,602,001,Regular,Seminar,Vidgms Lrng Sch Dsgn,3.00,B+,EDUC 602,Yes
Winter 2024,02884252,017281,FA 2022,SI,588,002,Regular,Lecture,Fundamntls Hum Beh,3.00,A-,SI 588,No
Winter 2024,02884252,020401,WN 2023,SI,622,001,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2024,02884252,021391,WN 2024,SI,511,151,Regular,Lecture,Special Topics,1.50,W,SI 511,No
Winter 2024,02884252,021400,FA 2022,SI,520,002,Regular,Lecture,Graphic Design,3.00,A-,SI 520,No
Winter 2024,02884252,022099,WN 2023,SI,658,001,Regular,Lecture,Info Architecture,3.00,A,SI 658,No
Winter 2024,02884252,039178,WN 2023,SI,539,001,Regular,Lecture,Web Design,3.00,A+,SI 539,No
Winter 2024,02884252,040667,WN 2023,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2024,02884252,041855,FA 2023,SI,631,001,Regular,Lecture,Agile Softwar Dev,1.50,B+,SI 631,No
Winter 2024,02884252,042104,FA 2022,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2024,02884252,044772,FA 2022,SI,582,001,Regular,Lecture,Intro Interac Design,3.00,A,SI 582,No
Winter 2024,02884252,045890,FA 2023,ASIANLAN,100,001,Regular,Recitation,1stYrChineseI (Adv),3.00,B+,ASIANLAN 100,Yes
Winter 2024,02884252,046306,WN 2024,SI,616,001,Regular,Lecture,Adv Graphic Design,3.00,B+,SI 616,No
Winter 2024,02884252,047246,FA 2022,SI,506,001,Regular,Lecture,Programming I,3.00,A,SI 506,No
Winter 2024,02884252,047901,WN 2024,SI,699,501,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
Winter 2024,02884252,048129,FA 2022,SI,505,001,Scnd 7 Wk,Lecture,Career/Intern Studio,1.00,S,SI 505,No
Winter 2024,02884252,048487,FA 2023,SI,669,001,Regular,Lecture,Dev Mobile Exp,3.00,B-,SI 669,No
